project_id,degree,type,b_m_student,start_date,year,thesis_title
2021-bsc-thesis-154321,bsc,thesis,yes,2021-02-01,2021,Self-cleaning Preliminary Screening Mechanisms to Improve Health and Wastewater Treatment Efficiency in Low-income Countries
2022-msc-sem-proj-222425,msc,sem-proj,yes,2022-04-04,2022,The state of open research data publishing practices and policies in the fields of global health engineering
2022-bsc-thesis-525162,bsc,thesis,yes,2022-03-11,2022,"Feasibility of waste maize husk valorization as a plastic plate replacement in Durban, South Africa"
2022-bsc-thesis-322163,bsc,thesis,yes,2022-03-01,2022,Low-cost compost screening technology to improve trash separation
2022-bsc-thesis-525566,bsc,thesis,yes,2022-03-25,2022,"The development of a recycled plastic wheel for cardboard collector trollies - improving the working conditions of informal cardboard recyclers in Durban, South Africa"
2022-msc-thesis-144643,msc,thesis,yes,2022-05-01,2022,Effect of fruit and vegetable waste in anaerobic digestion using faecal sludge as primary feedstock
2022-msc-sem-proj-224115,msc,sem-proj,yes,2022-02-07,2022,Energy production of Black Soldier Fly larvae: measuring the temperature increase in air induced by Black Soldier Flies throughout their larval stages
2022-msc-thesis-432451,msc,thesis,yes,2022-04-01,2022,"Suitability of the modified Bardenpho process for faecal sludge treatment in Kumasi, Ghana"
2022-phd-thesis-165636,phd,thesis,no,2022-02-21,2022,How biogas failed to light up a continent: why the most promising technology never spread across Africa
2022-msc-sem-proj-644261,msc,sem-proj,yes,2022-06-13,2022,Investigating the optimization potential of brick clamps in Malawi - thermal efficiency analysis and perspectives of brickmakers
2022-msc-sem-proj-521625,msc,sem-proj,yes,2022-09-16,2022,"Optimization of solid waste collections in Blantyre, Malawi"
2021-msc-thesis-225161,msc,thesis,yes,2021-09-19,2021,Barriers to successful data management in the Global South: Case Study of Malawi
2022-msc-sem-proj-415432,msc,sem-proj,yes,NA,NA,Designing a small-scale screw press for blackwater dewatering
2022-msc-sem-proj-531316,msc,sem-proj,yes,2022-05-01,2022,Design and validation of a thermal disinfection unit for wastewater using biogas in humanitarian crisis situations
2022-msc-sem-proj-235213,msc,sem-proj,yes,2022-08-01,2022,"Examination of non-recycled marine plastic litter in order to identify recycling and beneficiation pathways in Durban, South Africa"
2022-msc-sem-proj-632161,msc,sem-proj,yes,2022-10-01,2022,Bin it - design of an AHP waste collection model for informal settlements in South Africa
2022-phd-thesis-413534,phd,thesis,no,2022-02-21,2022,Evaluating a case of closed-loop plastic recycling in Malawi
2022-phd-thesis-323134,phd,thesis,no,2022-01-25,2022,Extent and markers of open waste burning
2022-msc-thesis-335155,msc,thesis,yes,2022-06-01,2022,Statistical Modeling of SDG 6 Global Estimates
2022-msc-sem-proj-233552,msc,sem-proj,yes,2022-10-01,2022,"“I have just accepted it”: Hierarchies of Power and Healthcare Waste Management Practices in Blantyre, Malawi"
2022-msc-thesis-531634,msc,thesis,yes,2022-09-16,2022,Thermal analysis and optimization potential of clamp kilns for fired clay brick production
2022-msc-thesis-563116,msc,thesis,yes,2022-08-01,2022,"Evaluating the potential Extended Producer Responsibility returns for plastic-packaging riverine waste in Durban, South Africa"
2022-bsc-thesis-336642,bsc,thesis,yes,2022-09-01,2022,"Improving market wash stations through creative and contextual design in Durban, South Africa"
2022-msc-thesis-362422,msc,thesis,yes,2022-10-01,2022,"Factors affecting the extent and impact of waste burning in Blantyre, Malawi"
2022-msc-sem-proj-116231,msc,sem-proj,yes,2022-09-16,2022,Design and validation of a thermal disinfection unit for wastewater using biogas for humanitarian crisis situations
2022-msc-sem-proj-322235,msc,sem-proj,yes,2022-11-16,2022,Tertiary education research: data collection on top universities of african countries
2023-staff-intern-515255,staff,intern,no,2023-01-01,2023,A sustainable alternative to traditional building materials: assessing stabilised soil blocks for performance and cost in Malawi
2023-msc-sem-proj-134361,msc,sem-proj,yes,2023-03-01,2023,"Urine Collection Trolley for Informal Markets in Durban, South Africa"
2023-msc-thesis-254435,msc,thesis,yes,2023-03-01,2023,Detection of Contamination in Biowaste
2023-bsc-thesis-162131,bsc,thesis,yes,2023-02-20,2023,Evaluation of the waste management system at the Züri Fäscht
2023-msc-thesis-122665,msc,thesis,yes,2023-03-16,2023,Tipping aid for loading small trucks on waste collection tours
2023-msc-thesis-445136,msc,thesis,yes,2023-03-01,2023,"Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi"
2023-msc-thesis-453552,msc,thesis,yes,2023-01-04,2023,Remote Monitoring System for the WaterWall
2023-msc-thesis-225343,msc,thesis,yes,2023-04-22,2023,Optimization of Calcium Hydroxide and Calcium Phosphate flows in the Autarky Nutrient Harvester
2023-msc-thesis-554324,msc,thesis,yes,2023-05-09,2023,withdrawn
2023-staff-intern-164543,staff,intern,no,2023-05-15,2023,NA
2023-staff-scientific-assistant-161565,staff,scientific-assistant,no,2023-05-01,2023,NA
2023-bsc-thesis-512155,bsc,thesis,yes,2023-09-18,2023,Experimental Optimization of a Peristaltic Pump Design for Pit-Emptying
2023-msc-thesis-266112,msc,thesis,yes,2023-09-18,2023,"Construction of a Glass Crusher and Evaluation of Waste Valorization Pathways for Cape Maclear, Malawi"
2023-bsc-thesis-544646,bsc,thesis,yes,2023-09-18,2023,Designing a manual press for blackwater dewatering
2023-msc-thesis-356661,msc,thesis,yes,2023-09-18,2023,"Development of a Low-Cost Incinerator in Cape Maclear, Malawi"
2023-bsc-thesis-514134,bsc,thesis,yes,2023-09-18,2023,Microcontroller Based Particulate Matter Monitors Utilising the Alphasense OPC-N3
2023-msc-thesis-166131,msc,thesis,yes,2023-10-02,2023,The Establishment of an Absorbent Hygiene Product Waste Collection System in Two Informal Settlements in South Africa
2023-msc-thesis-314142,msc,thesis,yes,2023-02-01,2023,Absorbent Hygiene Products (AHP) Waste Characterization and Collections Rationalization in South Africa
2023-msc-thesis-212116,msc,thesis,yes,2023-10-02,2023,"Willingness to Pay and Economic Feasibility for Waste Collection in Chembe, Malawi"
2023-msc-thesis-143563,msc,thesis,yes,2023-10-02,2023,"Waste Characterisation and Quantification in Chembe, Malawi"
2023-msc-thesis-316311,msc,thesis,yes,2023-09-25,2023,Improving Ergonomics and Communication for the Sewer Workers of Zürich
2023-msc-thesis-112416,msc,thesis,yes,2023-10-02,2023,"Waste Logistics and Transport Modelling in Cape Maclear, Malawi"
2023-msc-thesis-522216,msc,thesis,yes,2023-10-10,2023,Impact of a Social Transfer Intervention on Barriers to Exclusive Breastfeeding in Lao PDR
2023-staff-post-doc-546443,staff,post-doc,no,2023-10-01,2023,NA
2023-staff-intern-531332,staff,intern,no,2023-10-17,2023,NA
2024-staff-intern-245413,staff,intern,no,2024-01-15,2024,NA
2023-msc-project-333526,msc,sem-proj,yes,2023-10-01,2023,Informal Waste Pickers and Non-Motorised Transport: A Narrative Review of Literature
2023-msc-project-632542,msc,sem-proj,yes,2023-10-01,2023,"Particulate Matter, Health and Spaces of Risk within African Urban Areas: A Narrative Review of Literature"
2024-bsc-thesis-632545,bsc,thesis,yes,2024-02-26,2024,"Optimization of waste skip placement in Blantyre, Malawi"
2024-msc-sem-proj-621526,msc,sem-proj,yes,2024-02-19,2024,Adapting open-source turbidity sensor for enhanced dewatering of blackwater
2024-msc-thesis-633533,msc,thesis,yes,2024-03-15,2024,Advancing Sustainable Water Filtration: Enhancing Efficiency and Exploring New Adaptations
2024-msc-sem-proj-544115,msc,sem-proj,yes,2024-03-01,2024,Guidelines for Low-Cost Incineration Systems
2024-msc-thesis-461331,msc,thesis,yes,2024-04-01,2024,Exploratory analysis of the booking system in Kampala
2024-bsc-thesis-365433,bsc,thesis,yes,2024-02-12,2024,"Off-Grid Trash Screen Design for a Fecal Sludge Treatment Plant in Blantyre, Malawi"
2024-bsc-thesis-665325,bsc,thesis,yes,2024-02-27,2024,Hand Compactor Design for Informal Cardboard Recycling
2024-staff-intern-626425,staff,intern,no,2024-03-01,2024,NA
2024-msc-thesis-252356,msc,thesis,yes,2024-03-11,2024,Sludge pasteurization with solar water heaters
2024-bsc-thesis-524426,bsc,thesis,yes,2024-03-04,2024,Development of a Monitoring Device for Improved Cookstoves
2024-bsc-thesis-644313,bsc,thesis,yes,2024-03-04,2024,Developing a Methane Sensor for Biogas reactors in Malawi
2024-msc-sem-proj-135665,msc,sem-proj,yes,2024-03-04,2024,Volumetric flow meter development for household scale biogas reactors
2024-msc-sem-proj-136546,msc,sem-proj,yes,2024-03-04,2024,Logging and transmitting remote data from cookstove and biogas sensors in Malawi
2024-msc-sem-proj-353422,msc,sem-proj,yes,2024-03-04,2024,Testing the accuracy of the smart biogas measurement device
2024-bsc-thesis-255125,bsc,thesis,yes,2024-03-04,2024,"Innovative Mask Design for Air Pollution Impact Mitigation in Blantyre, Malawi: A Particle Size Distribution Approach"
2024-msc-thesis-356435,msc,thesis,yes,2024-03-11,2024,"Establishing the HDPE recycling process in Blantyre, Malawi"
NA,msc,thesis,yes,2024-02-26,2024,Machine vision for river waste identification in South Africa
2024-bsc-thesis-464465,bsc,thesis,yes,2024-03-18,2024,Design of a Bio-gas powered effluent pasteurizer
2024-msc-sem-proj-235415,msc,sem-proj,yes,2024-04-09,2024,Design optimisation of a mixing reactor for close to source urine stabilisation
2024-phd-thesis-542534,phd,thesis,no,2024-07-01,2024,Potential for faecal sludge treatment with mycellium
1899-msc-thesis-521516,msc,thesis,yes,NA,NA,Modelling and Optimization of an Evaportator-dehumidifier unit
2024-staff-hiwi-432515,staff,hiwi,no,2024-07-01,2024,NA
2024-msc-thesis-541166,msc,thesis,yes,2024-09-14,2024,Biogas sensor development: from prototyping to production
2024-staff-scientific-assistant-662223,staff,scientific-assistant,no,2024-07-22,2024,NA
2024-staff-hiwi-622154,staff,hiwi,no,2024-07-15,2024,NA
2024-msc-thesis-523344,msc,thesis,yes,2024-09-16,2024,"Air quality monitoring from open waste burning and incinerator burning in Cape Maclear, Malawi"
2024-msc-sem-proj-224166,msc,sem-proj,yes,2024-07-29,2024,"Casing design, manufacturing and testing for in-situ biogas monitoring"
2024-bsc-thesis-135565,bsc,thesis,yes,2024-10-01,2024,Design a urine diverter for a container based toilet
2024-bsc-thesis-351216,bsc,thesis,yes,2024-10-01,2024,Monitoring of improved cookstoves: from prototyping to small batch manufacturing
2024-msc-thesis-335314,msc,thesis,yes,2024-09-16,2024,Improving the solar sludge pasteurization technology
2024-msc-thesis-443663,msc,thesis,yes,2024-08-19,2024,Testing and improving an existing medium-size incineration technology
2024-msc-thesis-213322,msc,thesis,yes,2024-10-01,2024,"Collaborative toilet design, manufacturing, and testing"
2024-msc-thesis-314546,msc,thesis,yes,2024-10-01,2024,Estimating uncertainty in past biogas offsett projects and methodologies
2024-msc-sem-proj-524322,msc,sem-proj,yes,2024-09-23,2024,Life Cycle Analysis of biogas digesters
2024-bsc-thesis-136454,bsc,thesis,yes,2024-09-16,2024,"HDPE and PET property testing with physical, chemical, and biological contamination"
2024-msc-thesis-124523,msc,thesis,yes,2024-09-22,2024,Model and visualization of recyclable material collection network
2024-msc-sem-proj-514114,msc,sem-proj,yes,2024-09-23,2024,Absorbent Hygiene Products processing and recycling: literature review
2024-msc-thesis-444646,msc,thesis,yes,2024-09-23,2024,Drip irrigation feasibility study for Cape Maclear
2024-msc-sem-proj-413111,msc,sem-proj,yes,2024-09-30,2024,Literature Review on Feasibility of Manufacturing Low-cost Black Carbon Monitors
2024-msc-sem-proj-412211,msc,sem-proj,yes,2024-10-04,2024,Analysis of PLA-based Membranes Undergoing Mechanical Processing
2024-msc-thesis-452233,msc,thesis,yes,2024-10-21,2024,Testing and Development of Adaptable Water Filters
2024-msc-sem-proj-354365,msc,sem-proj,yes,2024-10-22,2024,Impact of hydrogen sulfide on biogas burning and removal evaluation
